Run,n,Method,YVal,thetaVal,time,tau0
1,256,NaiveX,.08432316927933939,.08239883720571274,.001129334,0
1,256,NaiveZ,.2280922947893595,.09799826648498382,21511e-9,0
1,256,FullInfo,.1108518932559432,.13819613387804824,20673e-9,0
1,256,Bayes,.18761538029429256,.11443969846340041,2647e-8,3
1,256,MLE,.1975731870449609,.06458959784050128,578775e-9,2.8721004818568914
1,256,MM,.21011870716658138,.10582952257712211,28356e-9,.9946093590847055
1,256,EmpBayesX,.10305836599673726,.09738261969258717,10581e-8,8.886934333877383
1,256,Rescaled,.1869298546788271,.11437847247449859,10581e-8,4.443467166938691
1,256,Rescaled_0.125,.16565561645759055,.10525835700655745,10581e-8,71.09547467101906
1,256,Rescaled_0.25,.1638581669415509,.1068209884823855,10581e-8,35.54773733550953
1,256,Rescaled_1.0,.17123872055762812,.1106788028310147,10581e-8,8.886934333877383
1,256,Rescaled_2.0,.1869298546788271,.11437847247449859,10581e-8,4.443467166938691
1,256,Rescaled_4.0,.1925147704503371,.11346904255392015,10581e-8,2.2217335834693457
1,256,Rescaled_8.0,.19715265478247695,.10944602017965485,10581e-8,1.1108667917346728
1,256,ExactStein,.24388013790231775,.10340335871479545,.00935503,.65
1,256,OracleX,.09481876465639474,.10858625142599493,106647e-9,.510137229344841
1,256,OracleZ,.18983007363278942,.11584593862911985,94635e-9,1.2655453446190914
1,256,Ridge,.1869298546788271,.11437847247449859,447822e-9,1.2655453446190914
1,512,NaiveX,.0679007240955345,.07629760350311122,34292e-9,0
1,512,NaiveZ,.21375424235159693,.09236885949549209,33663e-9,0
1,512,FullInfo,.10761723796811384,.1344876329057441,33175e-9,0
1,512,Bayes,.18065431591486977,.10732797816526285,3974e-8,3
1,512,MLE,.17864448485048126,.07289720591945548,.001014584,2.871174572283374
1,512,MM,.18570448774545173,.10402024177079477,47771e-9,1.5870657045121817
1,512,EmpBayesX,.09934816309181667,.09392485950759644,354585e-9,2.122297196741299
1,512,Rescaled,.20176399291101943,.10078610500498264,354585e-9,1.0611485983706495
1,512,Rescaled_0.125,.16667416901005166,.10332829309520605,354585e-9,16.97837757393039
1,512,Rescaled_0.25,.17059222573821559,.10467484119139922,354585e-9,8.489188786965196
1,512,Rescaled_1.0,.17983234161439338,.10663142133699749,354585e-9,2.122297196741299
1,512,Rescaled_2.0,.20176399291101943,.10078610500498264,354585e-9,1.0611485983706495
1,512,Rescaled_4.0,.21353719728991422,.09966099106774927,354585e-9,.5305742991853247
1,512,Rescaled_8.0,.2162317262754751,.09825173168081144,354585e-9,.26528714959266236
1,512,ExactStein,.21248695287172875,.10046737365771666,.022390347,.96
1,512,OracleX,.0969003976867526,.09604114530908478,364571e-9,.603011782131412
1,512,OracleZ,.18066647305861017,.10812935686517586,294451e-9,2.327952127241554
1,512,Ridge,.1758758918963897,.10600021672054322,738502e-9,2.327952127241554
1,1024,NaiveX,.0733192762755108,.07024026129768876,67607e-9,0
1,1024,NaiveZ,.20902630383706755,.08643998429249747,67327e-9,0
1,1024,FullInfo,.13087667352068855,.12622798288236858,64743e-9,0
1,1024,Bayes,.1780761589830276,.0968434861913179,8339e-8,3
1,1024,MLE,.1833623070147346,.06925147267236476,.001957861,2.83833477039432
1,1024,MM,.18143113688469187,.09235272081282547,89885e-9,1.8048537934359432
1,1024,EmpBayesX,.1006276805822389,.08201198773675172,.001216705,.633296620572864
1,1024,Rescaled,.2034313182103601,.09035112633996559,.001216705,.316648310286432
1,1024,Rescaled_0.125,.17690355073520334,.09646642367782332,.001216705,5.066372964582912
1,1024,Rescaled_0.25,.176680381958625,.09504919646113479,.001216705,2.533186482291456
1,1024,Rescaled_1.0,.19740474543777314,.09026090148632074,.001216705,.633296620572864
1,1024,Rescaled_2.0,.2034313182103601,.09035112633996559,.001216705,.316648310286432
1,1024,Rescaled_4.0,.2072330421875065,.0887163896561656,.001216705,.158324155143216
1,1024,Rescaled_8.0,.21084125626349448,.08751869036406296,.001216705,.079162077571608
1,1024,ExactStein,.1770871202332886,.09660709294249305,.045740384,4.57
1,1024,OracleX,.08488324924397828,.08375546103120188,.002229474,1.5283054037506967
1,1024,OracleZ,.17705642642549302,.09694564473550038,934616e-9,3.251127386688085
1,1024,Ridge,.1715089432645253,.09459971451645138,.001175429,3.251127386688085
1,2048,NaiveX,.07982354323727714,.0614221615509336,144921e-9,0
1,2048,NaiveZ,.21829289038160332,.0802012879439488,139333e-9,0
1,2048,FullInfo,.14614463707524228,.12554754034943566,131651e-9,0
1,2048,Bayes,.18880819978296942,.09160970588242212,150438e-9,3
1,2048,MLE,.2059427481785503,.06434931115739265,.003854541,2.802570069468677
1,2048,MM,.18907719997894024,.09047538569072035,207149e-9,2.4671088478278698
1,2048,EmpBayesX,.0995816253041431,.073694860944595,.004302223,.602799341365226
1,2048,Rescaled,.21601379872016735,.08464848705053968,.004302223,.301399670682613
1,2048,Rescaled_0.125,.18291782408437834,.0912550593687304,.004302223,4.822394730921808
1,2048,Rescaled_0.25,.18914374687653018,.09040160576628642,.004302223,2.411197365460904
1,2048,Rescaled_1.0,.20768039623160267,.0869962727085057,.004302223,.602799341365226
1,2048,Rescaled_2.0,.21601379872016735,.08464848705053968,.004302223,.301399670682613
1,2048,Rescaled_4.0,.22053260030471528,.08310379589400983,.004302223,.1506998353413065
1,2048,Rescaled_8.0,.22379096371162588,.08155370603461384,.004302223,.07534991767065324
