Run,n,Method,YVal,thetaVal,time,tau0
1,256,NaiveX,-.02572231043507492,.049456658885212015,49797e-9,0
1,256,NaiveZ,.26890372343737745,.06589217319822144,23536e-9,0
1,256,FullInfo,.15709337093501016,.13080997654876148,21861e-9,0
1,256,Bayes,.2313174318333815,.08384113602751853,29264e-9,3
1,256,MLE,.25375021014237714,.04643625129054614,700439e-9,3.4586737393844627
1,256,MM,.26890372343737745,.06589217319822144,36457e-9,0
1,256,EmpBayesX,.11578976994101084,.0591628457488113,185638e-9,1.2062579183970157
1,256,Rescaled,.27618479359852277,.06649777830919268,185638e-9,.6031289591985078
1,256,Rescaled_0.125,.2317087979192662,.08711507910516211,185638e-9,9.650063347176125
1,256,Rescaled_0.25,.2335118761433152,.0862874992941732,185638e-9,4.825031673588063
1,256,Rescaled_1.0,.26661717335824187,.07850974944836117,185638e-9,1.2062579183970157
1,256,Rescaled_2.0,.27618479359852277,.06649777830919268,185638e-9,.6031289591985078
1,256,Rescaled_4.0,.2736930932505973,.06583690921587312,185638e-9,.3015644795992539
1,256,Rescaled_8.0,.29192005340255034,.06834856448474144,185638e-9,.15078223979962696
1,256,ExactStein,.2707656575134369,.0799568088564496,.012020872,1.79
1,256,OracleX,.08410707788371087,.06682888526909778,206102e-9,4.246283569340123
1,256,OracleZ,.2317087979192662,.08711507910516211,169574e-9,7.187639015976919
1,256,Ridge,.2317087979192662,.08711507910516211,707981e-9,7.187639015976919
1,512,NaiveX,.01350039701954545,.05515338653363225,40857e-9,0
1,512,NaiveZ,.254025943111899,.07496404119604086,40997e-9,0
1,512,FullInfo,.13021192618050784,.1290292965331541,3953e-8,0
1,512,Bayes,.20693666613544753,.08703599489880905,53847e-9,3
1,512,MLE,.24523747709059818,.05138220410811676,.001459055,3.3399216668698357
1,512,MM,.254025943111899,.07496404119604086,63486e-9,0
1,512,EmpBayesX,.09207624261666625,.06704630944120132,393695e-9,1.0207032162733591
1,512,Rescaled,.23714984588763915,.08127984164115071,393695e-9,.5103516081366796
1,512,Rescaled_0.125,.20236978645970669,.08378594444641324,393695e-9,8.165625730186873
1,512,Rescaled_0.25,.20876083200818926,.08421364354604384,393695e-9,4.0828128650934365
1,512,Rescaled_1.0,.23405105104124585,.08528176661919123,393695e-9,1.0207032162733591
1,512,Rescaled_2.0,.23714984588763915,.08127984164115071,393695e-9,.5103516081366796
1,512,Rescaled_4.0,.23875091596037742,.0804350608033238,393695e-9,.2551758040683398
1,512,Rescaled_8.0,.25039096646004505,.08054174144794192,393695e-9,.1275879020341699
1,512,ExactStein,.22296504681153761,.08728156362723985,.022548678,1.7
