Run,n,Method,YVal,thetaVal,time,tau0
1,256,NaiveX,.13723454808389032,.0759470214608899,.066222877,0
1,256,NaiveZ,.25677980138524803,.07800926201513209,35619e-9,0
1,256,FullInfo,.14609523330234095,.12434263372591328,20534e-9,0
1,256,Bayes,.19016686209835856,.0890165943252765,24514e-9,3
1,256,MLE,.19016686209835856,.0890165943252765,.039644147,3.3484295563602013
1,256,MM,.25677980138524803,.07800926201513209,30102e-9,0
1,256,EmpBayesX,.1373143980960588,.07924379990857106,.007008363,.06389479829332172
1,256,Rescaled,.25677980138524803,.07800926201513207,.007008363,.03194739914666086
1,256,OracleX,.09913974561904375,.08707307477762219,94425e-9,3.8527497042447885
1,256,OracleZ,.16870631755595275,.09694107391346984,109092e-9,14.602725322427581
1,512,NaiveX,.09963451112096323,.06403624901011698,33943e-9,0
1,512,NaiveZ,.24751120581405595,.07874928939429256,33035e-9,0
1,512,FullInfo,.16057965705905725,.1282335105552284,32965e-9,0
1,512,Bayes,.20313993326960122,.08575384357502777,38273e-9,3
1,512,MLE,.20313993326960122,.08575384357502777,.001378527,3.001171694724644
1,512,MM,.24751120581405595,.07874928939429256,55454e-9,0
1,512,EmpBayesX,.10154520327954521,.06541215390314153,353607e-9,.05224866159168562
1,512,Rescaled,.25263800162666983,.08226186096661005,353607e-9,.02612433079584281
1,512,OracleX,.09061961872465374,.07686929326250143,344318e-9,2.067456765789106
1,512,OracleZ,.1846438486481011,.09102720614136668,384337e-9,14.058344238412484
1,1024,NaiveX,.09190823846956656,.055221786279685395,74521e-9,0
1,1024,NaiveZ,.2388817701269615,.06938347195180086,73543e-9,0
1,1024,FullInfo,.13451960133758656,.12033745862255818,75569e-9,0
1,1024,Bayes,.17357279788739866,.07848456836144044,89676e-9,3
1,1024,MLE,.17352356567454424,.07869599936647001,.00264447,3.4005988609829547
1,1024,MM,.2388817701269615,.06938347195180086,106857e-9,0
1,1024,EmpBayesX,.09351881285635041,.05667362879446994,.001332292,.04594045867479668
1,1024,Rescaled,.2431203794003376,.0717874153136604,.001332292,.02297022933739834
1,1024,OracleX,.07711679986106201,.07100782271860051,.00133327,1.986163694772173
1,1024,OracleZ,.15877867726019962,.07907508159250148,.001272509,12.458774104115875
1,2048,NaiveX,.07303598498660846,.06186809227747163,153371e-9,0
1,2048,NaiveZ,.2329769440924208,.076844481798445,152673e-9,0
1,2048,FullInfo,.14025891367015697,.12546245832250938,150997e-9,0
1,2048,Bayes,.17802999807981,.08614227851867456,181168e-9,3
1,2048,MLE,.17802999807981,.08614227851867456,.005189347,3.064299953488867
1,2048,MM,.16523854339295,.08573227208372058,217416e-9,21.34797047868228
1,2048,EmpBayesX,.08154672427923103,.07277102628608183,.006721944,25.164035912783014
1,2048,Rescaled,.16680035451989741,.08600521529652344,.006721944,12.582017956391507
1,2048,OracleX,.07977415075437341,.07290728450920803,.004038362,154.6947868558044
1,2048,OracleZ,.16738889423374254,.08656031111770326,.004058477,12.225767833721566
1,4096,NaiveX,.07914084093640035,.06537738686818512,279155e-9,0
1,4096,NaiveZ,.24039651658687222,.08064025209459011,287537e-9,0
1,4096,FullInfo,.14420670785499345,.1292488302768754,275105e-9,0
1,4096,Bayes,.1814199081285323,.09049313774800857,315054e-9,3
1,4096,MLE,.1814199081285323,.09049313774800857,.008725062,3.040455841781225
1,4096,MM,.18156517385873755,.09058908472635013,364921e-9,3.1562763777854976
1,4096,EmpBayesX,.08409982473128455,.0662588219411214,.015788111,.05488325074900625
1,4096,Rescaled,.24106810936500553,.08085512992278054,.015788111,.027441625374503124
1,4096,OracleX,.06961577628127336,.0749664627579502,.016538625,2.0351140408348205
1,4096,OracleZ,.18098418211612244,.09065150669534616,.016653235,3.294232424138483
1,8192,NaiveX,.0776238009196694,.06736272614244002,588064e-9,0
1,8192,NaiveZ,.23320900685162027,.0816986482055376,581848e-9,0
1,8192,FullInfo,.13827670284184784,.13015529349805655,581009e-9,0
1,8192,Bayes,.18173909007510036,.0908995505911739,647918e-9,3
