Run,n,Method,YVal,thetaVal,time,tau0
1,256,NaiveX,.17338947773834534,.17258348414074187,77454e-9,0
1,256,NaiveZ,.1749921079031243,.17293244866664884,30172e-9,0
1,256,FullInfo,.17481656980433496,.17384869281254517,29473e-9,0
1,256,MLE,.1749921079031243,.17293244866664884,.003595499,1.9633169242633026
1,256,MM,.1749921079031243,.17293244866664884,4833e-8,1.9628657067700777
1,256,EmpBayesX,.17346009194154338,.17243606264651906,209384e-9,44.96805678496154
1,256,Rescaled,.17499210790312428,.1729324486666488,209384e-9,22.48402839248077
1,256,ExactStein,.1749921079031243,.17293244866664884,.015156885,0
1,256,Box,.1749921079031243,.17293244866664884,.0061211,4.2
1,256,Gauss,.1749921079031243,.17293244866664884,.007272434,5
1,256,Sinc,.1749921079031243,.17293244866664884,.003743912,5
1,256,OracleX,.17338947773834534,.17258348414074187,198559e-9,0
1,256,OracleZ,.17508055832140548,.17330094931838053,183054e-9,60.54316589570875
1,256,Ridge,.1749921079031243,.17293244866664884,698273e-9,60.54316589570875
1,256,RidgeHalf,.1749921079031243,.17293244866664884,744298e-9,60.54316589570875
1,256,Regularization_.1,.17499210790312145,.17293244866664603,.00401755,60.54316589570875
1,256,Regularization_1,.17499210790312453,.17293244866664909,.001535461,60.54316589570875
1,256,Regularization_.01,.17499210790312145,.17293244866664603,.001640083,60.54316589570875
1,512,NaiveX,.16474736776733473,.16467214622069432,68864e-9,0
1,512,NaiveZ,.16603091739350292,.16537752676387896,47003e-9,0
1,512,FullInfo,.16570434454925348,.16595414316544693,45537e-9,0
1,512,MLE,.16603091739350292,.16537752676387896,.001600133,1.891927450117931
1,512,MM,.16603091739350292,.16537752676387896,71797e-9,1.891794540222562
1,512,EmpBayesX,.16474736776733473,.16467214622069432,626895e-9,0
1,512,Rescaled,.16603091739350292,.16537752676387896,626895e-9,0
1,512,ExactStein,.16603091739350292,.16537752676387896,.02975546,2.96
1,512,Box,.16590882740509638,.16525884993304446,.015456085,5
1,512,Gauss,.16603091739350292,.16537752676387896,.014866276,2.95
1,512,Sinc,.16590882740509638,.16525884993304446,.007612281,5
1,512,OracleX,.16435650958741266,.1647231711832201,639467e-9,6.169234614273574
1,512,OracleZ,.16603091739350292,.16537752676387896,636743e-9,0
1,512,Ridge,.16590882740509638,.16525884993304446,.001009555,0
1,512,RidgeHalf,.16603091739350292,.16537752676387896,.002799378,0
1,512,Regularization_.1,.16603091739350306,.16537752676387904,.003186299,0
1,512,Regularization_1,.1659526560414896,.1653038493442269,.003067429,0
1,512,Regularization_.01,.16603091739344916,.16537752676382234,.003188603,0
1,1024,NaiveX,.1599185293894871,.1596299841840501,113632e-9,0
1,1024,NaiveZ,.16092254843196874,.1597699016949159,93238e-9,0
1,1024,FullInfo,.16046717031496927,.1606492486552422,89677e-9,0
1,1024,MLE,.16092254843196874,.1597699016949159,.002907981,1.983710032274101
1,1024,MM,.16092254843196874,.1597699016949159,131092e-9,1.9833408418498986
1,1024,EmpBayesX,.1599185293894871,.1596299841840501,.00242922,0
1,1024,Rescaled,.16092254843196874,.1597699016949159,.00242922,0
