Run,n,Method,YVal,thetaVal,time,tau0
1,256,NaiveX,.14916620237512127,.15036221470805333,99035e-9,0
1,256,NaiveZ,.15500341179788718,.1513186508255986,36248e-9,0
1,256,FullInfo,.15542747701865178,.15471560888459612,2207e-8,0
1,256,MLE,.15522854937531666,.15151257414280825,674667e-9,2.2484430136230538
1,256,MM,.15522854937531666,.15151257414280825,31498e-9,2.250499452224367
1,256,EmpBayesX,.14916620237512127,.15036221470805333,255828e-9,0
1,256,Rescaled,.15500341179788718,.1513186508255986,255828e-9,0
1,256,ExactStein,.15500341179788718,.1513186508255986,.010224414,1.37
1,256,Box,.15579679533197752,.15172861490235912,.004109461,5
1,256,Gauss,.15579679533197752,.15172861490235912,.00715056,5
1,256,Sinc,.15579679533197752,.15172861490235912,.002346598,5
1,256,OracleX,.14876805666295087,.15050571543550664,195974e-9,2.320137483015967
1,256,OracleZ,.15579679533197752,.15172861490235912,228451e-9,3.3374404962669364
1,256,Ridge,.1553246050289814,.1505333272274746,571092e-9,3.3374404962669364
1,256,RidgeHalf,.15522854937531666,.15151257414280825,584222e-9,3.3374404962669364
1,256,Regularization_.1,.1550034117978876,.15131865082559903,.001009835,3.3374404962669364
1,256,Regularization_1,.15540326805466495,.1517643961685007,.001036864,3.3374404962669364
1,256,Regularization_.01,.1550034117978876,.15131865082559903,.00102974,3.3374404962669364
1,512,NaiveX,.14970429876051455,.14514336636064723,53708e-9,0
1,512,NaiveZ,.16098905509053768,.14865378052149586,80806e-9,0
1,512,FullInfo,.15657454368855112,.15328668745005242,49378e-9,0
1,512,MLE,.16206695894253126,.1491630647912101,.001155384,2.057419228510317
1,512,MM,.16206695894253126,.1491630647912101,52241e-9,2.0554708787468194
1,512,EmpBayesX,.1505987010702879,.14588640618830226,545321e-9,3.525322880386521
1,512,Rescaled,.16206695894253126,.1491630647912101,545321e-9,1.7626614401932605
1,512,ExactStein,.16084866821675797,.14909201227893437,.022285585,1.03
1,512,Box,.16237085300430856,.14895013760956793,.007901982,3.75
1,512,Gauss,.16084866821675797,.14909201227893437,.011463818,1
1,512,Sinc,.16117345554615392,.14823642923046276,.004630966,5
1,512,OracleX,.14889362978819157,.14675342916358589,557404e-9,7.149634738723707
1,512,OracleZ,.16141480719397377,.14949629710047035,513054e-9,1.3588785360672886
1,512,Ridge,.16117345554615392,.1482364292304628,78313e-8,1.3588785360672886
1,512,RidgeHalf,.16206695894253126,.1491630647912101,792279e-9,1.3588785360672886
1,512,Regularization_.1,.16094409297084653,.14880317718123648,.00183934,1.3588785360672886
1,512,Regularization_1,.1617171653732507,.14912130942400972,.00187922,1.3588785360672886
1,512,Regularization_.01,.16098905509053768,.14865378052149583,.001849188,1.3588785360672886
1,1024,NaiveX,.14489091005722438,.13889296615611293,88001e-9,0
1,1024,NaiveZ,.15325772202915422,.1417759727012202,80457e-9,0
1,1024,FullInfo,.14938097462407346,.14499378274467806,8814e-8,0
1,1024,MLE,.15342050455013856,.1418075531401556,.002014641,2.1646807338614154
1,1024,MM,.15342050455013856,.1418075531401556,108673e-9,2.1538584996479915
1,1024,EmpBayesX,.14503285915636915,.13875046978278732,.002412877,3.9215517940985505
1,1024,Rescaled,.1532117096359224,.14201525451501582,.002412877,1.9607758970492752
1,1024,ExactStein,.1532117096359224,.14201525451501582,.047887025,2.03
1,1024,Box,.15327405657060664,.14163970794231412,.01568272,3.05
1,1024,Gauss,.1532117096359224,.14201525451501582,.019708582,2
1,1024,Sinc,.15327405657060664,.14163970794231412,.011971634,3
1,1024,OracleX,.14425772837065598,.13927870549890145,.001683594,8.032787970607535
1,1024,OracleZ,.1532117096359224,.1420152545150158,.001541606,1.1096512673664782
1,1024,Ridge,.1532279253743818,.14143550806478938,.001347588,1.1096512673664782
1,1024,RidgeHalf,.15326614539514483,.1419029618736144,.001289829,1.1096512673664782
1,1024,Regularization_.1,.1533701277258168,.1418008356075326,.003673232,1.1096512673664782
1,1024,Regularization_1,.153620980860125,.14194310811715116,.003716255,1.1096512673664782
1,1024,Regularization_.01,.15325772202915425,.1417759727012202,.005497557,1.1096512673664782
1,2048,NaiveX,.14590564334731476,.14233548185027575,181168e-9,0
1,2048,NaiveZ,.1556916822496514,.1462208522953878,176349e-9,0
1,2048,FullInfo,.15120398765319754,.15034104138578827,169435e-9,0
1,2048,MLE,.15581856795627097,.14623151316252359,.003896934,2.0935265039859665
1,2048,MM,.15581856795627097,.14623151316252359,20247e-8,2.09198126196843
1,2048,EmpBayesX,.14590564334731476,.14233548185027575,.005770776,0
1,2048,Rescaled,.1556916822496514,.1462208522953878,.005770776,0
1,2048,ExactStein,.15581856795627097,.14623151316252359,.103657316,2.27
1,2048,Box,.15577093638786735,.14652446324598434,.033045124,1.25
1,2048,Gauss,.15581856795627097,.14623151316252359,.041793373,2.25
1,2048,Sinc,.15606529152401005,.1461520387034984,.020698302,.6
1,2048,OracleX,.14576605200887455,.14252359680838456,.005855493,5.773804568044612
1,2048,OracleZ,.15577093638786738,.14652446324598434,.006316864,1.0249509023662877
1,2048,Ridge,.15584078600376086,.14591001858960412,.003264521,1.0249509023662877
1,2048,RidgeHalf,.15581856795627097,.14623151316252359,.004736985,1.0249509023662877
1,2048,Regularization_.1,.1559130308298471,.14621535995693555,.007777036,1.0249509023662877
1,2048,Regularization_1,.15620480360848302,.1461667852711039,.00740101,1.0249509023662877
1,2048,Regularization_.01,.15569168224965355,.14622085229538997,.009028593,1.0249509023662877
1,4096,NaiveX,.14412853929490324,.14335446110847314,344038e-9,0
1,4096,NaiveZ,.15558926838403858,.1471445829581513,322457e-9,0
1,4096,FullInfo,.1515284551494646,.15117300572756492,33859e-8,0
1,4096,MLE,.15547175704318977,.14703593951788815,.007719348,2.1055236371355597
1,4096,MM,.1554717570431898,.14703593951788815,422191e-9,2.1137658884262756
1,4096,EmpBayesX,.14493901184051064,.1437538842855427,.024358824,5.762796720097059
