Run,n,Method,YVal,thetaVal,time,tau0
1,256,NaiveX,.15359646147413397,.15452394321415594,102597e-9,0
1,256,NaiveZ,.15359958960003744,.15453043560418928,35549e-9,0
1,256,FullInfo,.1534438936095019,.15471560888459612,28216e-9,0
1,256,MLE,.15359958960003744,.15453043560418928,923022e-9,2.246224239833981
1,256,MM,.15359958960003744,.15453043560418928,46025e-9,2.2465637834594507
1,256,EmpBayesX,.15359646147413397,.15452394321415594,218115e-9,0
1,256,Rescaled,.15359958960003744,.15453043560418928,218115e-9,0
1,256,ExactStein,.15359958960003744,.15453043560418928,.01769834,0
1,256,Box,.15359958960003744,.15453043560418928,.006396763,5
1,256,Gauss,.15359958960003744,.15453043560418928,.007397938,5
1,256,Sinc,.15359958960003744,.15453043560418928,.00383687,5
1,256,OracleX,.1534157555120242,.15465720858062554,21553e-8,.7439063033080279
1,256,OracleZ,.1534157555120242,.15465720858062554,255828e-9,32.052972913837586
1,256,Ridge,.15359958960003744,.15453043560418928,99454e-9,32.052972913837586
1,256,RidgeHalf,.15359958960003744,.15453043560418928,90933e-9,32.052972913837586
1,256,Regularization_.1,.15359958960003803,.15453043560418983,.001582254,32.052972913837586
1,256,Regularization_1,.15359958960003686,.1545304356041887,.001615569,32.052972913837586
1,256,Regularization_.01,.15359958960004386,.1545304356041955,.001580159,32.052972913837586
1,512,NaiveX,.15199757549479825,.1532310781011577,77105e-9,0
1,512,NaiveZ,.15215208603189928,.15310969148662767,49098e-9,0
1,512,FullInfo,.15201509573903765,.15328668745005242,45397e-9,0
1,512,MLE,.15215208603189928,.15310969148662767,.001605232,2.1132080731485097
1,512,MM,.15215208603189928,.15310969148662767,75638e-9,2.1134119895641197
1,512,EmpBayesX,.15206933971301242,.15320454231583824,718806e-9,13.445033458378854
1,512,Rescaled,.15215208603189928,.15310969148662767,718806e-9,6.722516729189427
1,512,ExactStein,.15215208603189928,.15310969148662767,.028888659,0
1,512,Box,.15215208603189928,.15310969148662767,.012235076,5
1,512,Gauss,.15215208603189928,.15310969148662767,.016315902,5
1,512,Sinc,.15215208603189928,.15310969148662767,.007322579,5
1,512,OracleX,.15199757549479825,.1532310781011577,754775e-9,0
1,512,OracleZ,.1520693397130124,.15320454231583824,694082e-9,32.052972913837586
1,512,Ridge,.15215208603189928,.15310969148662767,.001035816,32.052972913837586
1,512,RidgeHalf,.15215208603189928,.15310969148662767,.001068362,32.052972913837586
1,512,Regularization_.1,.15215208603193708,.15310969148666523,.003144744,32.052972913837586
1,512,Regularization_1,.15215208603189925,.15310969148662754,.003148166,32.052972913837586
1,512,Regularization_.01,.15215208603178582,.1531096914865145,.003135176,32.052972913837586
1,1024,NaiveX,.145109982667709,.14498001164787994,115657e-9,0
1,1024,NaiveZ,.1452119920116608,.14494384421824053,98825e-9,0
1,1024,FullInfo,.14504825305819502,.14499378274467806,88349e-9,0
1,1024,MLE,.1452119920116608,.14494384421824053,.005201011,2.195019846478965
1,1024,MM,.1452119920116608,.14494384421824053,182006e-9,2.1948321375295543
1,1024,EmpBayesX,.145109982667709,.14498001164787994,.00240303,0
1,1024,Rescaled,.1452119920116608,.14494384421824053,.00240303,0
1,1024,ExactStein,.1452119920116608,.14494384421824053,.064764101,0
1,1024,Box,.1452119920116608,.14494384421824053,.02714172,4.75
1,1024,Gauss,.1452119920116608,.14494384421824053,.032310463,4.75
1,1024,Sinc,.1452119920116608,.14494384421824053,.015304949,4.7
1,1024,OracleX,.145109982667709,.14498001164787994,.002470077,0
1,1024,OracleZ,.1452119920116608,.14494384421824053,.00247727,0
1,1024,Ridge,.1452119920116608,.14494384421824053,.001730388,0
1,1024,RidgeHalf,.1452119920116608,.14494384421824053,.001686807,0
1,1024,Regularization_.1,.14521199201166132,.144943844218241,.008496122,0
1,1024,Regularization_1,.14521199201166088,.14494384421824058,.006517169,0
1,1024,Regularization_.01,.14521199201165694,.14494384421823675,.006532535,0
1,2048,NaiveX,.150362533357809,.15015242205077384,202889e-9,0
1,2048,NaiveZ,.15087836871013727,.15024941232793934,184451e-9,0
1,2048,FullInfo,.15069328890106432,.15034104138578827,204495e-9,0
1,2048,MLE,.15087836871013727,.15024941232793934,.005882382,2.1412363701670825
1,2048,MM,.15087836871013727,.15024941232793934,258343e-9,2.141256018032147
1,2048,EmpBayesX,.150362533357809,.15015242205077384,.010651913,0
1,2048,Rescaled,.15087836871013727,.15024941232793934,.010651913,0
1,2048,ExactStein,.15087836871013727,.15024941232793934,.143576707,0
1,2048,Box,.15087932919843167,.15024489171328873,.057295555,5
1,2048,Gauss,.15087932919843167,.15024489171328873,.063336406,5
1,2048,Sinc,.15087836871013727,.15024941232793934,.034151619,2.3
1,2048,OracleX,.150362533357809,.15015242205077384,.010392802,0
1,2048,OracleZ,.15087836871013727,.15024941232793934,.009998617,0
1,2048,Ridge,.15087932919843167,.1502448917132887,.005928896,0
1,2048,RidgeHalf,.15087836871013727,.15024941232793934,.003020706,0
1,2048,Regularization_.1,.1508783687101385,.1502494123279407,.013219907,0
1,2048,Regularization_1,.1508785538300511,.15024854104632215,.015160936,0
1,2048,Regularization_.01,.15087836871014942,.1502494123279517,.013378797,0
1,4096,NaiveX,.15112120762837467,.15086372323467534,408571e-9,0
1,4096,NaiveZ,.1516396592225481,.15101682365205785,401588e-9,0
1,4096,FullInfo,.15151382378054612,.15117300572756492,412273e-9,0
1,4096,MLE,.1516396592225481,.15101682365205785,.013519946,2.126319375922504
1,4096,MM,.1516396592225481,.15101682365205785,515708e-9,2.126596576791633
